Latitude: 27.374659695972753, Longitude: -82.45212397275992
Latitude: 27.374657368685597, Longitude: -82.45211371712529
Latitude: 27.374657406892535, Longitude: -82.45211373371367
Latitude: 27.374657405367504, Longitude: -82.45211373639489
Latitude: 27.374657413805053, Longitude: -82.45211372030852
Latitude: 27.37465741137743, Longitude: -82.45211372320405
Latitude: 27.374657530087102, Longitude: -82.45211378286996
Latitude: 27.374657531034533, Longitude: -82.45211378947842
Latitude: 27.37465746276816, Longitude: -82.45211374503769
Latitude: 27.374657458965867, Longitude: -82.45211375105602
Latitude: 27.37465753282924, Longitude: -82.45211371460303
Latitude: 27.374657530406353, Longitude: -82.45211372064504
Latitude: 27.374657553908335, Longitude: -82.45211345762343
Latitude: 27.37465755063841, Longitude: -82.45211345385712
Latitude: 27.374657578129142, Longitude: -82.45211344274873
Latitude: 27.374657575481212, Longitude: -82.45211344032337
Latitude: 27.374657623285007, Longitude: -82.45211342121245
Latitude: 27.374657621741033, Longitude: -82.45211341899174
Latitude: 27.3746576306833, Longitude: -82.45211338763971
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374657627552775, Longitude: -82.45211338746032
Latitude: 27.374658044451323, Longitude: -82.45212939548836
Latitude: 27.374658015801767, Longitude: -82.45212938486124
Latitude: 27.37465801988737, Longitude: -82.45212937178039
Latitude: 27.374657869333458, Longitude: -82.45212945954732
Latitude: 27.374657869333458, Longitude: -82.45212945954732
Latitude: 27.37465786676125, Longitude: -82.452129445076
Latitude: 27.3746578426639, Longitude: -82.4521292673159
Latitude: 27.374657710759134, Longitude: -82.4521293589801
Latitude: 27.374657702081524, Longitude: -82.45212935130563
Latitude: 27.37465769532682, Longitude: -82.45212926244648
Latitude: 27.37465768647966, Longitude: -82.45212925343543
Latitude: 27.374657704976933, Longitude: -82.45212926038201
Latitude: 27.374657696847855, Longitude: -82.45212925423894
Latitude: 27.37465779271083, Longitude: -82.45212926840418
Latitude: 27.374657785623878, Longitude: -82.45212926422495
Latitude: 27.374657797948228, Longitude: -82.45212921981995
Latitude: 27.37465779101144, Longitude: -82.45212921611784
Latitude: 27.374657891895513, Longitude: -82.45212915515538
Latitude: 27.374657888735335, Longitude: -82.45212915000242
Latitude: 27.374657924728137, Longitude: -82.45212891074081
Latitude: 27.374657923050083, Longitude: -82.45212889904477
Latitude: 27.37465791951504, Longitude: -82.45212890090804
Latitude: 27.374657917674742, Longitude: -82.45212889124275
Latitude: 27.374657979262356, Longitude: -82.45212894128653
Latitude: 27.374657980677593, Longitude: -82.45212893477881
Latitude: 27.37465805323322, Longitude: -82.45212897020293
Latitude: 27.37465805776247, Longitude: -82.4521289679677
Latitude: 27.374658135776297, Longitude: -82.45212877793631
Latitude: 27.37465814309012, Longitude: -82.45212876881257
Latitude: 27.37465815624537, Longitude: -82.45212868268756
Latitude: 27.374658163987462, Longitude: -82.45212867248078
Latitude: 27.374658190133434, Longitude: -82.45212861269168
Latitude: 27.374658199586044, Longitude: -82.45212860380235
Latitude: 27.374658206266364, Longitude: -82.45212854158987
Latitude: 27.3746582149747, Longitude: -82.45212853130873
Latitude: 27.37465824420099, Longitude: -82.45212848152924
Latitude: 27.37465825386551, Longitude: -82.45212847127895
Latitude: 27.374658324211758, Longitude: -82.45212835942074
Latitude: 27.37465833700737, Longitude: -82.45212834738375
Latitude: 27.37465834474436, Longitude: -82.45212830261656
Latitude: 27.3746583571094, Longitude: -82.45212829098651
Latitude: 27.374658411153277, Longitude: -82.45212825486297
Latitude: 27.374658425741657, Longitude: -82.45212824392776
Latitude: 27.374658434208964, Longitude: -82.452128198284
Latitude: 27.3746584476556, Longitude: -82.45212818727049
Latitude: 27.374658411877803, Longitude: -82.45212820059193
Latitude: 27.374658423858484, Longitude: -82.45212819158057
Latitude: 27.374658423785906, Longitude: -82.45212813384218
Latitude: 27.37465843565227, Longitude: -82.45212812638196
Latitude: 27.374658446897065, Longitude: -82.4521280313069
Latitude: 27.37465845988835, Longitude: -82.45212802188976
Latitude: 27.37465847851341, Longitude: -82.45212802660242
Latitude: 27.374658491536994, Longitude: -82.45212801836347
Latitude: 27.374658475459537, Longitude: -82.45212797968207
Latitude: 27.374658487806954, Longitude: -82.45212797323074
Latitude: 27.374658494699375, Longitude: -82.45212794037488
Latitude: 27.37465850665487, Longitude: -82.4521279357178
Latitude: 27.374658474482352, Longitude: -82.45212802486543
Latitude: 27.3746584844993, Longitude: -82.45212802458968
Latitude: 27.37465852087273, Longitude: -82.45212800238174
Latitude: 27.3746585316399, Longitude: -82.45212800326144
Latitude: 27.374658565287582, Longitude: -82.45212792071803
Latitude: 27.374658577549315, Longitude: -82.45212792069806
Latitude: 27.374658571191123, Longitude: -82.45212787741423
Latitude: 27.37465858234077, Longitude: -82.4521278787663
Latitude: 27.374658562841635, Longitude: -82.45212779316368
Latitude: 27.37465857133878, Longitude: -82.45212779198825
Latitude: 27.374658550479335, Longitude: -82.45212768706197
Latitude: 27.37465855766227, Longitude: -82.45212768418047
Latitude: 27.374658574156392, Longitude: -82.45212767875648
Latitude: 27.374658581730884, Longitude: -82.45212767703829
Latitude: 27.37465858392506, Longitude: -82.45212759888217
Latitude: 27.3746585912012, Longitude: -82.45212759714533
Latitude: 27.37465863675101, Longitude: -82.45212763644629
Latitude: 27.374658645580837, Longitude: -82.45212763828366
Latitude: 27.37465858779757, Longitude: -82.4521274957959
Latitude: 27.374658594287723, Longitude: -82.4521274932109
Latitude: 27.374658638143586, Longitude: -82.45212754256528
Latitude: 27.374658646217544, Longitude: -82.45212754295797
Latitude: 27.374658671674435, Longitude: -82.45212742827533
Latitude: 27.374658679817575, Longitude: -82.45212742747992
Latitude: 27.374658702128983, Longitude: -82.4521273286708
Latitude: 27.374658709687157, Longitude: -82.45212732513409
Latitude: 27.374658789091423, Longitude: -82.45212728445951
Latitude: 27.374658798329744, Longitude: -82.4521272822521
Latitude: 27.374658759849662, Longitude: -82.45212717939772
Latitude: 27.374658766932463, Longitude: -82.45212717506422
Latitude: 27.37465878026329, Longitude: -82.45212716954481
Latitude: 27.374658786945638, Longitude: -82.45212716615666
Latitude: 27.374658836783844, Longitude: -82.4521269702456
Latitude: 27.374658844326696, Longitude: -82.45212696015324
Latitude: 27.374658866655217, Longitude: -82.45212688889052
Latitude: 27.37465887381225, Longitude: -82.45212687857112
Latitude: 27.374658910057878, Longitude: -82.45212681747726
Latitude: 27.374658917979993, Longitude: -82.45212680712397
Latitude: 27.374658957907563, Longitude: -82.45212668986241
Latitude: 27.374658965839796, Longitude: -82.45212667772019
Latitude: 27.37465901788716, Longitude: -82.45212665401006
Latitude: 27.374659026219103, Longitude: -82.45212664407963
Latitude: 27.374659082038026, Longitude: -82.45212656688051
Latitude: 27.374659092128205, Longitude: -82.45212655529252
Latitude: 27.374659110471875, Longitude: -82.45212653762333
Latitude: 27.374659119760754, Longitude: -82.4521265265858
Latitude: 27.374659196793203, Longitude: -82.45212654481608
Latitude: 27.37465920825093, Longitude: -82.45212653731963
Latitude: 27.37465924395138, Longitude: -82.45212646647583
Latitude: 27.37465925523183, Longitude: -82.4521264584991
Latitude: 27.374659329678558, Longitude: -82.45212644163374
Latitude: 27.374659342536397, Longitude: -82.4521264345338
Latitude: 27.374659396362944, Longitude: -82.45212637657522
Latitude: 27.3746594099531, Longitude: -82.45212636921755
Latitude: 27.374659424234256, Longitude: -82.45212623699356
Latitude: 27.374659436289345, Longitude: -82.45212622657245
Latitude: 27.374659483244535, Longitude: -82.4521261223963
Latitude: 27.374659497498314, Longitude: -82.45212611022562
Latitude: 27.374659574047474, Longitude: -82.45212612105584
Latitude: 27.374659590179615, Longitude: -82.45212611069103
Latitude: 27.374659589424013, Longitude: -82.4521260875399
Latitude: 27.374659603188217, Longitude: -82.45212607757746
Latitude: 27.374659652711298, Longitude: -82.45212600664364
Latitude: 27.37465966690484, Longitude: -82.45212599667556
Latitude: 27.37465967140715, Longitude: -82.45212592172554
Latitude: 27.374659683902113, Longitude: -82.45212591077589
Latitude: 27.374659646487185, Longitude: -82.45212589457851
Latitude: 27.37465965669101, Longitude: -82.4521258842668
Latitude: 27.37465968168227, Longitude: -82.45212589486749
Latitude: 27.37465969287757, Longitude: -82.45212588759567
Latitude: 27.37465969647646, Longitude: -82.4521258535451
Latitude: 27.374659705985074, Longitude: -82.45212584559118
Latitude: 27.37465964358035, Longitude: -82.45212572129223
Latitude: 27.37465965066619, Longitude: -82.45212571078693
Latitude: 27.374659706757942, Longitude: -82.45212571048334
Latitude: 27.374659715283727, Longitude: -82.45212570082431
Latitude: 27.374659678132357, Longitude: -82.45212561395758
Latitude: 27.37465968457343, Longitude: -82.4521256033879
Latitude: 27.37465967901791, Longitude: -82.45212554933545
Latitude: 27.374659683427723, Longitude: -82.45212553811675
Latitude: 27.37465963131181, Longitude: -82.4521254235783
Latitude: 27.374659633627115, Longitude: -82.45212541030575
Latitude: 27.374659708540413, Longitude: -82.45212531653314
Latitude: 27.37465971214336, Longitude: -82.45212530096975
Latitude: 27.374659651576007, Longitude: -82.45212534640645
Latitude: 27.374659652244006, Longitude: -82.45212533452079
Latitude: 27.37465970251198, Longitude: -82.45212527305567
Latitude: 27.374659705301926, Longitude: -82.45212525912827
Latitude: 27.37465970932092, Longitude: -82.4521252203093
Latitude: 27.37465971169934, Longitude: -82.45212520665419
Latitude: 27.374659695470697, Longitude: -82.45212519838412
Latitude: 27.374659695867777, Longitude: -82.45212518666577
Latitude: 27.37465964229611, Longitude: -82.45212526113848
Latitude: 27.37465964096621, Longitude: -82.45212525541136
Latitude: 27.374659650278343, Longitude: -82.45212521013488
Latitude: 27.37465964918267, Longitude: -82.45212520270292
Latitude: 27.37465971090695, Longitude: -82.45212507725643
Latitude: 27.37465971183772, Longitude: -82.45212506598375
Latitude: 27.374659702528987, Longitude: -82.45212506886301
Latitude: 27.37465970295243, Longitude: -82.45212505945142
Latitude: 27.374659650080048, Longitude: -82.45212500887538
Latitude: 27.37465964750906, Longitude: -82.45212499869686
Latitude: 27.374659684567224, Longitude: -82.45212482520554
Latitude: 27.374659682611533, Longitude: -82.45212480913158
Latitude: 27.374659644915326, Longitude: -82.45212474484106
Latitude: 27.37465964133201, Longitude: -82.45212472821886
Latitude: 27.374659671662382, Longitude: -82.45212480980831
Latitude: 27.374659669114173, Longitude: -82.452124798175
Latitude: 27.374659638503925, Longitude: -82.45212475161675
Latitude: 27.37465963508541, Longitude: -82.45212473970243
Latitude: 27.374659641180276, Longitude: -82.4521247311766
Latitude: 27.374659637665516, Longitude: -82.45212472039297
Latitude: 27.374659636023562, Longitude: -82.45212467361928
Latitude: 27.374659631739732, Longitude: -82.45212466118699
Latitude: 27.374659584517172, Longitude: -82.45212468188554
Latitude: 27.37465957706164, Longitude: -82.45212467321466
Latitude: 27.374659601320072, Longitude: -82.45212467957411
Latitude: 27.37465959426154, Longitude: -82.45212467126107
Latitude: 27.374659604766766, Longitude: -82.45212465646851
Latitude: 27.374659598900983, Longitude: -82.45212465010081
Latitude: 27.37465959252696, Longitude: -82.45212465223509
Latitude: 27.37465958688949, Longitude: -82.45212464781328
Latitude: 27.37465958688949, Longitude: -82.45212464781328
Latitude: 27.37465958688949, Longitude: -82.45212464781328
Latitude: 27.37465958688949, Longitude: -82.45212464781328
Latitude: 27.37465958688949, Longitude: -82.45212464781328
Latitude: 27.37465958688949, Longitude: -82.45212464781328
Latitude: 27.37465958688949, Longitude: -82.45212464781328
Latitude: 27.37465958688949, Longitude: -82.45212464781328
Latitude: 27.37465958688949, Longitude: -82.45212464781328
Latitude: 27.37465958688949, Longitude: -82.45212464781328
Latitude: 27.37465958688949, Longitude: -82.45212464781328
Latitude: 27.37465958688949, Longitude: -82.45212464781328
Latitude: 27.37465958688949, Longitude: -82.45212464781328
Latitude: 27.37465958688949, Longitude: -82.45212464781328
Latitude: 27.37465958688949, Longitude: -82.45212464781328
Latitude: 27.37465958688949, Longitude: -82.45212464781328
Latitude: 27.374653313418303, Longitude: -82.4521225893108
Latitude: 27.374653309217663, Longitude: -82.45212259681463
Latitude: 27.37465338440188, Longitude: -82.45212270378572
Latitude: 27.37465338237308, Longitude: -82.45212271351699
Latitude: 27.37465343285855, Longitude: -82.45212274587365
Latitude: 27.37465343264637, Longitude: -82.45212275410498
Latitude: 27.37465347194349, Longitude: -82.4521228189015
Latitude: 27.37465347143949, Longitude: -82.45212282702772
Latitude: 27.37465355464141, Longitude: -82.45212278040096
Latitude: 27.374653557045306, Longitude: -82.4521227850183
Latitude: 27.374653627188998, Longitude: -82.45212271492812
Latitude: 27.374653630946085, Longitude: -82.45212271556935
Latitude: 27.37465364109855, Longitude: -82.45212268670551
Latitude: 27.374653644027166, Longitude: -82.45212268486152
Latitude: 27.374653690767058, Longitude: -82.45212261277369
Latitude: 27.37465369403972, Longitude: -82.4521226062534
Latitude: 27.37465369403972, Longitude: -82.4521226062534
Latitude: 27.37465369403972, Longitude: -82.4521226062534
Latitude: 27.37465369403972, Longitude: -82.4521226062534
Latitude: 27.37465369403972, Longitude: -82.4521226062534
Latitude: 27.37465369403972, Longitude: -82.4521226062534
Latitude: 27.37465369403972, Longitude: -82.4521226062534
Latitude: 27.37465369403972, Longitude: -82.4521226062534
Latitude: 27.37465369403972, Longitude: -82.4521226062534
Latitude: 27.37465369403972, Longitude: -82.4521226062534
Latitude: 27.37465369403972, Longitude: -82.4521226062534
Latitude: 27.37465369403972, Longitude: -82.4521226062534
Latitude: 27.37465369403972, Longitude: -82.4521226062534
Latitude: 27.37465369403972, Longitude: -82.4521226062534
Latitude: 27.37465369403972, Longitude: -82.4521226062534
Latitude: 27.374667441276895, Longitude: -82.4521085452877
Latitude: 27.37466837870878, Longitude: -82.45210794055991
Latitude: 27.374668650365038, Longitude: -82.45210883253873
Latitude: 27.37466818900155, Longitude: -82.4521091761493
Latitude: 27.374662411378655, Longitude: -82.45212145517196
Latitude: 27.37466296448706, Longitude: -82.45212428915362
Latitude: 27.374663650204987, Longitude: -82.45212576946447
Latitude: 27.374656142527915, Longitude: -82.45212923139216
Latitude: 27.374656586638597, Longitude: -82.45212892538608
Latitude: 27.374656417983523, Longitude: -82.45212844705082
Latitude: 27.374656568846707, Longitude: -82.45212794113891
Latitude: 27.37465642705744, Longitude: -82.4521273507256
Latitude: 27.374656284673446, Longitude: -82.45212652765534
Latitude: 27.37465642132743, Longitude: -82.45212576725673
